number,time,thscode,open,high,low,close,volume,amount,turnoverRatio,totalCapital,pe,pb
1,2023-04-21,603939.SH,191.567,193.7241,189.2207,191.4913,4745174.0,240959715.0,0.6603,36518269458.0,33.2549,4.5217
2,2023-04-20,603939.SH,193.6106,194.5945,188.5395,190.7723,4423854.0,223066581.0,0.6156,36381145521.3,33.13,4.5047
3,2023-04-19,603939.SH,199.4007,199.4007,193.5727,194.3296,4828719.0,249752587.0,0.672,37059548155.5,33.7478,4.5887
4,2023-04-18,603939.SH,201.52,201.52,193.7998,199.4007,8866239.0,462650264.0,1.2338,38026632761.7,34.6285,4.7084
5,2023-04-17,603939.SH,211.9271,211.9271,200.5739,202.0877,10681237.0,575709351.0,1.4864,38539043262.0,35.0951,4.7719
6,2023-04-14,603939.SH,221.3882,222.8263,210.2242,211.9271,4221281.0,238628684.0,0.5874,40415476080.0,36.8038,5.0042
7,2023-04-13,603939.SH,216.3928,222.5235,215.9008,218.512,3901631.0,226109359.0,0.5429,41671242658.2,37.9474,5.1597
8,2023-04-12,603939.SH,215.8251,223.2804,215.6359,217.6038,4756227.0,276403642.0,0.6619,41498033475.0,37.7897,5.1383
9,2023-04-11,603939.SH,212.0028,221.8801,212.0028,216.2414,5132674.0,296161902.0,0.7143,41238219700.2,37.5531,5.1061
10,2023-04-10,603939.SH,212.0785,215.2953,207.0074,212.9868,3486225.0,194324978.0,0.4851,40617553460.4,36.9879,5.0292
11,2023-04-07,603939.SH,213.2517,216.2792,210.754,212.3056,2135940.0,120088579.0,0.2972,40487646573.0,36.8696,5.0132
12,2023-04-06,603939.SH,211.1703,214.9547,208.4833,213.4409,3695289.0,207452349.0,0.5142,40704158052.0,37.0667,5.04
13,2023-04-04,603939.SH,208.1427,215.5602,207.4994,210.5269,5082781.0,284611831.0,0.7073,40148445255.9,36.5607,4.9712
14,2023-04-03,603939.SH,220.4421,220.4421,203.223,209.6565,10492637.0,579818139.0,1.4601,39982453122.0,36.4095,4.9506
15,2023-03-31,603939.SH,225.551,226.1944,217.6038,218.8148,3465339.0,202648322.0,0.4822,41728979052.6,38.0,5.1669
16,2023-03-30,603939.SH,224.7563,227.0648,221.426,223.9616,2240456.0,132609739.0,0.3118,42710497757.4,38.8938,5.2884
17,2023-03-29,603939.SH,225.1726,228.957,221.5774,224.7941,2619758.0,155812099.0,0.3646,42869272842.0,39.0384,5.3081
18,2023-03-28,603939.SH,215.1439,229.3354,215.1439,225.5132,5445385.0,323122867.0,0.7578,43006396778.7,39.1632,5.325
19,2023-03-27,603939.SH,217.9822,218.3985,214.1221,215.7116,2851032.0,162542086.0,0.3967,41137181010.0,37.461,5.0936
20,2023-03-24,603939.SH,217.9065,219.1175,216.5441,217.6416,1882346.0,108425553.0,0.2619,41505250524.3,37.7962,5.1392
21,2023-03-23,603939.SH,214.8411,219.3067,213.3652,217.8308,2160993.0,123761014.0,0.3007,41541335770.8,37.8291,5.1436
22,2023-03-22,603939.SH,217.4145,220.7448,213.7437,215.3331,2305150.0,131778540.0,0.3208,41065010517.0,37.3953,5.0847
23,2023-03-21,603939.SH,211.9271,218.1714,211.9271,217.4145,2471026.0,141081341.0,0.3439,41461948228.5,37.7568,5.1338
24,2023-03-20,603939.SH,215.2574,215.2574,211.1703,213.2138,3300093.0,185250564.0,0.4592,40660855756.2,37.0273,5.0346
25,2023-03-17,603939.SH,216.09,221.7666,214.2356,215.2574,4139200.0,237519811.0,0.576,41050576418.4,37.3822,5.0829
26,2023-03-16,603939.SH,214.879,217.0739,210.1106,215.7116,5401954.0,305559830.0,0.7517,41137181010.0,37.461,5.0936
27,2023-03-15,603939.SH,218.4363,220.4799,215.1439,217.0739,3227069.0,184698989.0,0.4491,41396994784.8,37.6976,5.1258
28,2023-03-14,603939.SH,221.0097,224.832,216.5063,216.6577,3286096.0,190887068.0,0.4573,41317607242.5,37.6254,5.1159
29,2023-03-13,603939.SH,214.8033,222.7884,212.3813,222.5992,5900269.0,343202016.0,0.8211,42450683982.6,38.6572,5.2562
30,2023-03-10,603939.SH,211.9271,216.09,210.2242,213.2517,4471584.0,251534896.0,0.6223,40668072805.5,37.0339,5.0355
31,2023-03-09,603939.SH,217.1118,217.8687,214.5005,215.2953,1487293.0,84849027.0,0.207,41057793467.7,37.3888,5.0838
32,2023-03-08,603939.SH,214.1221,219.496,212.684,217.2253,2974923.0,170411644.0,0.414,41425862982.0,37.7239,5.1293
33,2023-03-07,603939.SH,219.9123,219.9123,214.3113,214.3113,3683368.0,210441372.0,0.5126,40870150185.9,37.2179,5.0605
34,2023-03-06,603939.SH,219.2311,221.2746,214.1599,218.6256,2861191.0,165379535.0,0.3982,41692893806.1,37.9671,5.1624
35,2023-03-03,603939.SH,218.4742,223.9616,217.2253,218.1714,3663122.0,212085305.0,0.5098,41606289214.5,37.8882,5.1517
36,2023-03-02,603939.SH,225.4375,225.4375,219.496,221.3882,2095434.0,122800237.0,0.2916,42219738405.0,38.4469,5.2276
37,2023-03-01,603939.SH,228.957,231.4547,223.4318,224.4914,3688774.0,220781559.0,0.5133,42811536447.6,38.9858,5.3009
38,2023-02-28,603939.SH,222.1451,229.9031,221.3882,228.957,4697325.0,281842624.0,0.6537,43663148265.0,39.7613,5.4064
39,2023-02-27,603939.SH,222.1072,225.7781,216.8469,223.5453,4029384.0,236214032.0,0.5607,42631110215.1,38.8215,5.2786
40,2023-02-24,603939.SH,223.3561,227.4432,221.7666,223.8102,2331412.0,138033703.0,0.3244,42681629560.2,38.8675,5.2848
41,2023-02-23,603939.SH,222.1072,224.7563,220.7448,223.3939,2772848.0,163683476.0,0.3859,42602242017.9,38.7952,5.275
42,2023-02-22,603939.SH,223.3561,227.4811,221.3125,222.0694,3354464.0,197895009.0,0.4668,42349645292.4,38.5652,5.2437
43,2023-02-21,603939.SH,227.4432,230.3951,222.3721,225.0591,5712284.0,339842829.0,0.7949,42919792187.1,39.0844,5.3143
44,2023-02-20,603939.SH,230.3951,230.66,222.9019,228.1623,7377378.0,442383592.0,1.0266,43511590229.7,39.6233,5.3876
45,2023-02-17,603939.SH,218.285,236.5258,215.9008,232.2116,13089889.0,800474849.0,1.8216,44283814504.8,40.3265,5.4832
46,2023-02-16,603939.SH,234.6336,236.8286,219.7987,222.0694,21193660.0,1294874517.0,2.9493,42349645292.4,38.5652,5.2437
47,2023-02-15,603939.SH,215.9008,217.7173,214.9547,215.2953,2475768.0,141259887.0,0.3445,41057793467.7,37.3888,5.0838
48,2023-02-14,603939.SH,214.7655,217.0361,213.1003,216.1278,3493748.0,198780161.0,0.4862,41216568552.3,37.5333,5.1034
49,2023-02-13,603939.SH,216.2035,221.5017,214.2735,214.4249,5711265.0,328403360.0,0.7948,40891801333.8,37.2376,5.0632
50,2023-02-10,603939.SH,213.8193,218.1714,211.2459,216.1657,4722717.0,268517755.0,0.6572,41223785601.6,37.5399,5.1043
51,2023-02-09,603939.SH,211.8515,214.5762,210.2242,213.8193,4026692.0,226652848.0,0.5603,40776328545.0,37.1324,5.0489
52,2023-02-08,603939.SH,213.7437,214.5762,210.0349,211.1324,3859375.0,215672367.0,0.5371,40263918044.7,36.6658,4.9855
53,2023-02-07,603939.SH,215.2574,218.3985,212.3434,213.7815,5128309.0,290601404.0,0.7136,40769111495.7,37.1259,5.048
54,2023-02-06,603939.SH,214.7276,217.5659,212.4948,214.4249,4344882.0,245528407.0,0.6046,40891801333.8,37.2376,5.0632
55,2023-02-03,603939.SH,217.4902,217.6795,212.7219,214.879,4279177.0,242595284.0,0.5955,40978405925.4,37.3165,5.0739
56,2023-02-02,603939.SH,219.496,222.8263,217.5281,218.285,5454880.0,316857901.0,0.7591,41627940362.4,37.908,5.1544
57,2023-02-01,603939.SH,215.2196,224.9077,214.5384,219.8744,9453848.0,551467018.0,1.3156,41931056433.0,38.184,5.1919
58,2023-01-31,603939.SH,217.9444,217.9822,214.4627,214.6519,4541996.0,259061496.0,0.6321,40935103629.6,37.277,5.0686
59,2023-01-30,603939.SH,222.2964,226.3079,215.371,216.0143,7029414.0,404889221.0,0.9782,41194917404.4,37.5136,5.1007
60,2023-01-20,603939.SH,224.6049,231.9845,221.3882,222.2964,4592791.0,271769312.0,0.6391,42392947588.2,38.6046,5.2491
61,2023-01-19,603939.SH,222.7506,226.6107,221.0097,224.0751,6269750.0,372011326.0,0.8725,42732148905.3,38.9135,5.2911
62,2023-01-18,603939.SH,227.027,230.8871,221.6531,223.4696,7219997.0,427955782.0,1.0047,42616676116.5,38.8083,5.2768
63,2023-01-17,603939.SH,225.7781,229.9031,223.2804,227.1026,4947290.0,297236940.0,0.6885,43309512849.3,39.4393,5.3626
64,2023-01-16,603939.SH,235.1634,236.4123,222.5613,225.8538,10721913.0,643113885.0,1.492,43071350222.4,39.2224,5.3331
65,2023-01-13,603939.SH,233.9524,235.0878,231.4169,233.574,3572082.0,219673929.0,0.4971,44543628279.6,40.5631,5.5154
66,2023-01-12,603939.SH,234.8607,237.5855,230.5843,232.1359,4004662.0,246114637.0,0.5573,44269380406.2,40.3133,5.4814
67,2023-01-11,603939.SH,240.7265,242.5052,234.6336,236.98,3677598.0,230231776.0,0.5118,45193162716.6,41.1546,5.5958
68,2023-01-10,603939.SH,240.7644,241.824,237.0178,239.894,2758933.0,175169459.0,0.3839,45748875512.7,41.6606,5.6646
